,ID,preRespAction,preRespExternal,preRespTotal
0,002,0,0,0
1,003,1,0,1
2,004,0,0,0
3,005,0,0,0
4,006,0,0,0
5,008,0,0,0
6,009,5,0,5
7,010,0,0,0
8,011,0,0,0
9,012,0,0,0
10,014,0,0,0
11,015,0,0,0
12,016,0,0,0
13,018,13,0,13
14,019,0,0,0
15,020,0,0,0
16,022,0,2,2
17,024,0,0,0
18,025,0,0,0
19,027,0,0,0
20,028,0,0,0
21,029,0,0,0
22,030,0,0,0
23,031,0,0,0
24,033,0,0,0
25,034,0,0,0
26,035,2,0,2
27,036,0,0,0
28,037,0,0,0
29,039,0,0,0
30,040,3,0,3
31,041,0,0,0
32,042,0,0,0
33,044,0,0,0
34,045,0,0,0
35,046,0,0,0
36,049,0,0,0
37,050,0,0,0
38,051,0,0,0
39,052,0,0,0
