,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
0,1,-4.0,0.0,0.00441568533430004,0.3220881871297402,1.0659363572713069e-05,0.9872112975231822,4.0,375.0,0.4639288237558127,0.9872112975231822,4.0,375.0,0.00641492688185874,0.9872112975231822,0.00441568533430004,0.33300825301287224,3.221750298983639e-05,0.8840228854365861,4.0,375.0,0.6318369058151247,0.8840228854365862,4.0,375.0,0.05977508784515495,0.8840228854365862
1,1,-4.0,3.333333333333333e-05,0.005319633774954678,0.31679403934105155,4.932882853112435e-06,0.9940817162058653,4.0,375.0,0.45565833295614694,0.9940817162058648,4.0,375.0,0.0029635331614671356,0.9940817162058648,0.005319633774954678,0.32982502812232617,2.6042808077877764e-05,0.9062506801715827,4.0,375.0,0.6198982711628572,0.9062506801715818,4.0,375.0,0.0480280045234619,0.9062506801715818
2,1,-4.0,6.666666666666666e-05,0.006125575846882235,0.31243797637601983,2.1053735985073845e-06,0.9974740523733268,4.0,375.0,0.45152956731038413,0.9974740523733265,4.0,375.0,0.0012637723736429463,0.9974740523733265,0.006125575846882235,0.3271996715811689,2.1877925514020627e-05,0.9212434758607909,4.0,375.0,0.6117984286903425,0.9212434758607909,4.0,375.0,0.04018570761798357,0.9212434758607909
3,1,-4.0,9.999999999999999e-05,0.006861663146669501,0.30868055527593175,7.872837616086712e-07,0.9990554496606932,4.0,375.0,0.4495943340207933,0.9990554496606929,4.0,375.0,0.00047238674427163563,0.9990554496606929,0.006861663146669501,0.32494296675346074,1.904360565147838e-05,0.931446505785067,4.0,375.0,0.606262602406985,0.931446505785067,4.0,375.0,0.0348852369872964,0.931446505785067
4,1,-4.0,0.0001333333333333333,0.007539028363819592,0.3053828791126042,2.286307493905053e-07,0.9997256992474202,4.0,375.0,0.44877206274906867,0.9997256992474195,4.0,375.0,0.00013715978269301932,0.9997256992474195,0.007539028363819592,0.32297271470538835,1.7101892425723534e-05,0.938436316937508,4.0,375.0,0.6024584756327769,0.9384363169375077,4.0,375.0,0.031270772125921775,0.9384363169375077
5,1,-4.0,0.00016666666666666663,0.008165234126865968,0.3024543033503088,3.493709963383422e-08,0.9999580845471727,4.0,375.0,0.44848668180634377,0.9999580845471723,4.0,375.0,2.095794603174106e-05,0.9999580845471723,0.008165234126865968,0.3212334870727602,1.5779545176806794e-05,0.9431965279733683,4.0,375.0,0.5998621396627242,0.9431965279733674,4.0,375.0,0.028816944148340573,0.9431965279733674
6,1,-4.0,0.00019999999999999998,0.008745476073831323,0.2998359740131963,1.6819449922034852e-10,0.9999997982220983,4.0,375.0,0.4484354395824733,0.9999997982220985,4.0,375.0,1.0088895574522638e-07,0.9999997982220985,0.008745476073831323,0.3196972895257076,1.490102503005072e-05,0.9463590371014636,4.0,375.0,0.5981346377836912,0.9463590371014634,4.0,375.0,0.027190133118776716,0.9463590371014634
7,1,-4.0,0.0002333333333333333,0.009284378502147313,0.29748028810639,1.995238984267344e-08,0.9999760619781313,4.0,375.0,0.4484645984233135,0.9999760619781319,4.0,375.0,1.1969082563512146e-05,0.9999760619781319,0.009284378502147313,0.31832440097723463,1.4349707306448534e-05,0.9483436826923783,4.0,375.0,0.5970494628611553,0.9483436826923786,4.0,375.0,0.026170609042642012,0.9483436826923786
8,1,-4.0,0.0002666666666666666,0.009785432575582054,0.2953538194717106,4.53687525697826e-08,0.999945568389572,4.0,375.0,0.448502056064647,0.9999455683895725,4.0,375.0,2.7216175573774315e-05,0.9999455683895725,0.009785432575582054,0.3171035863126443,1.4045647777863134e-05,0.9494382389846866,4.0,375.0,0.5964506176416535,0.9494382389846879,4.0,375.0,0.025608785453867133,0.9494382389846879
9,1,-4.0,0.0003,0.010251775876056825,0.2934287793249733,5.75490632404616e-08,0.999930954849435,4.0,375.0,0.4485200061037416,0.999930954849435,4.0,375.0,3.452317120722359e-05,0.999930954849435,0.010251775876056825,0.3160111402994793,1.3932462728719357e-05,0.9498456840846898,4.0,375.0,0.5962276340389716,0.9498456840846892,4.0,375.0,0.0253997311283517,0.9498456840846892
10,1,-3.6666666666666665,0.0,0.005674334382932039,0.3164274035207977,1.4944069204555192e-05,0.9820706902519225,4.0,375.0,0.4700402562734254,0.9820706902519225,4.0,375.0,0.00900520170289354,0.9820706902519225,0.005674334382932039,0.33008297349862653,3.604149335805549e-05,0.8702572416324247,4.0,375.0,0.6391924850427971,0.8702572416324251,4.0,375.0,0.06712420889358217,0.8702572416324251
11,1,-3.6666666666666665,3.333333333333333e-05,0.006292261401068299,0.3132194568933836,1.0566604068162443e-05,0.9873225869624891,4.0,375.0,0.4637958036616027,0.9873225869624895,4.0,375.0,0.006358924479020089,0.9873225869624895,0.006292261401068299,0.32815033355223794,3.212928201548597e-05,0.8843405220691686,4.0,375.0,0.6316668504414282,0.8843405220691702,4.0,375.0,0.059606187776009234,0.8843405220691702
12,1,-3.6666666666666665,6.666666666666666e-05,0.006852276313301783,0.31045926092128373,7.581150190417691e-06,0.9909044219548846,4.0,375.0,0.45949804101748953,0.9909044219548848,4.0,375.0,0.004558177513680706,0.9909044219548848,0.006852276313301783,0.32649828440958695,2.9116879561640844e-05,0.8951845624685685,4.0,375.0,0.6258518640742695,0.8951845624685691,4.0,375.0,0.053858064311400944,0.8951845624685691
13,1,-3.6666666666666665,9.999999999999999e-05,0.007367869081773492,0.308019455385647,5.542958054361151e-06,0.9933497678908427,4.0,375.0,0.456545197451693,0.9933497678908421,4.0,375.0,0.003330662711628185,0.9933497678908421,0.007367869081773492,0.32503063157141715,2.6797935337752293e-05,0.903532342698708,4.0,375.0,0.6213626358051071,0.9035323426987071,4.0,375.0,0.04945681702580862,0.9035323426987071
14,1,-3.6666666666666665,0.0001333333333333333,0.007847220222091635,0.305824160363383,4.142453034278366e-06,0.9950300410369816,4.0,375.0,0.4545072096942566,0.9950300410369816,4.0,375.0,0.0024880747394637748,0.9950300410369816,0.007847220222091635,0.32372149042163156,2.50076975777055e-05,0.909976865182354,4.0,375.0,0.6178889211149028,0.9099768651823547,4.0,375.0,0.04607292459939327,0.9099768651823547
15,1,-3.6666666666666665,0.00016666666666666663,0.008295539485586175,0.3038267861069386,3.173677185732682e-06,0.996192342224862,4.0,375.0,0.45309311382733,0.9961923422248622,4.0,375.0,0.001905644628293568,0.9961923422248622,0.008295539485586175,0.3225354971159764,2.3624357471814847e-05,0.9149566365640012,4.0,375.0,0.6151997772173827,0.914956636564002,4.0,375.0,0.043466343214206615,0.914956636564002
16,1,-3.6666666666666665,0.00019999999999999998,0.008715705069448297,0.3020027305177198,2.5001949939401186e-06,0.9970003603790254,4.0,375.0,0.45210793263277443,0.9970003603790252,4.0,375.0,0.0015009462302804089,0.9970003603790252,0.008715705069448297,0.32145579635009464,2.2558572700569134e-05,0.918793266522994,4.0,375.0,0.6131249163065662,0.9187932665229928,4.0,375.0,0.04146295505964259,0.9187932665229928
17,1,-3.6666666666666665,0.0002333333333333333,0.009111192608340481,0.3003227102578135,2.0311607065647013e-06,0.9975630900455251,4.0,375.0,0.4514207872966616,0.9975630900455253,4.0,375.0,0.0012191981993621148,0.9975630900455253,0.009111192608340481,0.32047107426711574,2.1744196722704228e-05,0.9217248712200156,4.0,375.0,0.611537681737642,0.9217248712200151,4.0,375.0,0.039934965109126086,0.9217248712200151
18,1,-3.6666666666666665,0.0002666666666666666,0.009483977502484522,0.2987712954171702,1.705695701057774e-06,0.9979535706638333,4.0,375.0,0.4509434728303681,0.9979535706638328,4.0,375.0,0.001023738688534781,0.9979535706638328,0.009483977502484522,0.3195678361829896,2.113154493735624e-05,0.9239303055773028,4.0,375.0,0.6103425594071202,0.9239303055773015,4.0,375.0,0.03878706543383359,0.9239303055773015
19,1,-3.6666666666666665,0.0003,0.009835883106438107,0.29733463530671495,1.48279348093214e-06,0.9982210003276734,4.0,375.0,0.45061633523649164,0.9982210003276727,4.0,375.0,0.0008898957934252438,0.9982210003276727,0.009835883106438107,0.3187378459719576,2.0682720855103117e-05,0.9255459901605554,4.0,375.0,0.6094664416630932,0.925545990160555,4.0,375.0,0.0379469920214609,0.925545990160555
20,1,-3.3333333333333335,0.0,0.007115177441885733,0.31075965622820456,2.072181751995483e-05,0.9751387451286818,4.0,375.0,0.47818245078139804,0.9751387451286827,4.0,375.0,0.012508863265759396,0.9751387451286827,0.007115177441885733,0.3272164957077514,4.064491714226956e-05,0.853685736313535,4.0,375.0,0.6480127131276326,0.8536857363135374,4.0,375.0,0.07604884527723144,0.8536857363135374
21,1,-3.3333333333333335,3.333333333333333e-05,0.007515344826141773,0.3089058438038084,1.77393710744435e-05,0.9787169715569711,4.0,375.0,0.47399336467663566,0.9787169715569716,4.0,375.0,0.010698745802386389,0.9787169715569716,0.007515344826141773,0.3261045794564122,3.833140973017564e-05,0.8620139413227341,4.0,375.0,0.6435845152497199,0.8620139413227358,4.0,375.0,0.07155294102316445,0.8620139413227358
22,1,-3.3333333333333335,6.666666666666666e-05,0.007885244998967898,0.30724832671272523,1.5339730498505402e-05,0.9815959722896456,4.0,375.0,0.4706014234279848,0.9815959722896451,4.0,375.0,0.009244746524326941,0.9815959722896451,0.007885244998967898,0.32511315403143115,3.6373933926481464e-05,0.8690604943745516,4.0,375.0,0.6398306848435715,0.8690604943745507,4.0,375.0,0.067765858609249,0.8690604943745507
23,1,-3.3333333333333335,9.999999999999999e-05,0.008229428297141118,0.305751934889409,1.3408814225746648e-05,0.9839126102172789,4.0,375.0,0.4678578283008115,0.9839126102172792,4.0,375.0,0.008076308268988197,0.9839126102172792,0.008229428297141118,0.3242144982306448,3.472180504228329e-05,0.8750078561193544,4.0,375.0,0.6366571107586113,0.8750078561193546,4.0,375.0,0.06458145404350968,0.8750078561193546
